iter	Logloss
0	0.6851053176
1	0.6794584376
2	0.6718297136
3	0.6642856134
4	0.6574860281
5	0.6513402704
6	0.6439403886
7	0.6380884913
8	0.6320385157
9	0.6265303019
10	0.6213122308
11	0.6164167409
12	0.6115979925
13	0.6063308037
14	0.6010179432
15	0.5969606576
16	0.5916537487
17	0.5856523115
18	0.581948487
19	0.5779188679
20	0.5734403965
21	0.5688274742
22	0.5646409884
23	0.5596644063
24	0.5554829548
25	0.5527537405
26	0.5491107265
27	0.545655029
28	0.5423257627
29	0.5397663561
30	0.5370408852
31	0.5334626594
32	0.5300549121
33	0.5281861724
34	0.5245569429
35	0.5218761067
36	0.5190220381
37	0.5162435622
38	0.512950486
39	0.5094651705
40	0.5080007072
41	0.5057550717
42	0.5031242806
43	0.5005837933
44	0.4988669531
45	0.4966602289
46	0.494531701
47	0.4927325089
48	0.4906652289
49	0.4886976026
50	0.4865123214
51	0.4849756888
52	0.4836498383
53	0.4813199542
54	0.4793305232
55	0.4771624388
56	0.4758596529
57	0.4737150726
58	0.4721550645
59	0.4704208635
60	0.4679746103
61	0.4667235665
62	0.4653215307
63	0.4640816457
64	0.4617736499
65	0.4600097448
66	0.4582826244
67	0.4570879416
68	0.4560174489
69	0.454470565
70	0.4531402348
71	0.4518931676
72	0.4508647101
73	0.4494802629
74	0.447935567
75	0.4464248644
76	0.4442995606
77	0.4431497036
78	0.4419295269
79	0.4406346106
80	0.4396985666
81	0.4387810019
82	0.437618462
83	0.4364935675
84	0.4352615498
85	0.4338087154
86	0.432166482
87	0.4303160045
88	0.4294726641
89	0.4278621214
90	0.4267173687
91	0.425367796
92	0.424427773
93	0.4229968735
94	0.4218348673
95	0.4207289819
96	0.4192955297
97	0.4181341311
98	0.4172109303
99	0.4164682094
100	0.4156953775
101	0.4146082033
102	0.4135872786
103	0.412609963
104	0.4116590068
105	0.4106205164
106	0.4094313448
107	0.4086042383
108	0.407693002
109	0.4069344314
110	0.4065812627
111	0.405493588
112	0.4050347106
113	0.4038219152
114	0.4032743792
115	0.4022688013
116	0.4010877954
117	0.4005428791
118	0.3995513196
119	0.3984497691
120	0.3975570549
121	0.396998267
122	0.3962274442
123	0.3951037892
124	0.3942412903
125	0.3935765879
126	0.3928516594
127	0.3922475146
128	0.3915925614
129	0.3906466539
130	0.3899607523
131	0.3891076246
132	0.3887460075
133	0.3876965903
134	0.3870230949
135	0.3865860125
136	0.3856108728
137	0.3847438028
138	0.383946257
139	0.383621587
140	0.3832690102
141	0.3828352119
142	0.3818363402
143	0.3811971177
144	0.3803638416
145	0.3796494618
146	0.3790649847
147	0.3784025305
148	0.3771181889
149	0.3760785714
150	0.3754722979
151	0.374780912
152	0.3739074982
153	0.3733681117
154	0.3725557198
155	0.3717903019
156	0.3707661388
157	0.3701811647
158	0.3692690003
159	0.3684361114
160	0.3675641736
161	0.3670054828
162	0.3664638958
163	0.3656934179
164	0.3651164337
165	0.3649052637
166	0.3641973681
167	0.3636587323
168	0.3630489154
169	0.3623215779
170	0.3617472362
171	0.3612833008
172	0.3607330868
173	0.3601642678
174	0.3596981655
175	0.3588197086
176	0.3581724691
177	0.3577116431
178	0.3572184794
179	0.3568699583
180	0.3564929279
181	0.3561595235
182	0.3554720629
183	0.3549823339
184	0.3544047576
185	0.3536395272
186	0.3527943181
187	0.3525261408
188	0.3522044609
189	0.351571415
190	0.3510892347
191	0.3507479074
192	0.350395734
193	0.3498385221
194	0.3494611064
195	0.348946964
196	0.3485934083
197	0.3483272525
198	0.3480277069
199	0.3477050888
200	0.3469881032
201	0.3465055027
202	0.3459449533
203	0.345474285
204	0.3451207521
205	0.3447855197
206	0.3444632036
207	0.3440802913
208	0.3435055698
209	0.3432183908
210	0.3427200094
211	0.3421019224
212	0.3415408123
213	0.3408588475
214	0.340294895
215	0.3397574672
216	0.3393290598
217	0.3389851898
218	0.3383811636
219	0.3379766439
220	0.3377605877
221	0.3374412805
222	0.3369307648
223	0.3364362437
224	0.3357634709
225	0.335358458
226	0.3350691839
227	0.3346148948
228	0.3343033454
229	0.3338836247
230	0.3334278242
231	0.3329816035
232	0.3321619727
233	0.331651548
234	0.331452557
235	0.3311253551
236	0.3304893745
237	0.3299433325
238	0.3293937329
239	0.3292234807
240	0.328579824
241	0.3282123631
242	0.327728323
243	0.3274947668
244	0.327037438
245	0.3265358716
246	0.3263068709
247	0.3259619733
248	0.3253672666
249	0.3251067959
250	0.3248611204
251	0.32452936
252	0.3239794473
253	0.3234847483
254	0.3229958834
255	0.3225375711
256	0.3222376877
257	0.3219975631
258	0.3214815986
259	0.3212340303
260	0.3210266975
261	0.3206315162
262	0.3200063424
263	0.3197249361
264	0.3191049773
265	0.3189470758
266	0.3186097359
267	0.3183720984
268	0.317968
269	0.3172442833
270	0.3166743596
271	0.3159417174
272	0.3156023409
273	0.3153075966
274	0.3147057134
275	0.3141072879
276	0.3135353071
277	0.3129539835
278	0.3128506812
279	0.3126114534
280	0.3121837228
281	0.3118518778
282	0.3117145756
283	0.3113132543
284	0.310697359
285	0.3104908788
286	0.3099769109
287	0.3096956283
288	0.3089262209
289	0.3084178442
290	0.3078626285
291	0.3073873278
292	0.3071102954
293	0.3068949489
294	0.3065884015
295	0.3063299014
296	0.3058048874
297	0.3053158238
298	0.3047575768
299	0.3043480638
300	0.3038552303
301	0.3034334338
302	0.3031129278
303	0.3028353874
304	0.3024530047
305	0.3020649629
306	0.3017708055
307	0.3015921722
308	0.301401066
309	0.3010132373
310	0.3005174047
311	0.3002254185
312	0.2996913301
313	0.2992076024
314	0.2990455039
315	0.2987800839
316	0.2982078319
317	0.297613378
318	0.2971317001
319	0.2971001125
320	0.2969304892
321	0.2965042898
322	0.2961124218
323	0.2959427517
324	0.2955549164
325	0.2950288606
326	0.2945874003
327	0.2939878284
328	0.2935796092
329	0.2931952717
330	0.2928842208
331	0.2927926231
332	0.2923102293
333	0.291961642
334	0.2916473928
335	0.2911939276
336	0.2907789572
337	0.2901434116
338	0.2899537257
339	0.2896844558
340	0.2892921399
341	0.2887855987
342	0.2885319583
343	0.2882794892
344	0.288101341
345	0.2872227866
346	0.2868108882
347	0.2866785797
348	0.2864472012
349	0.2860120519
350	0.2856679387
351	0.2854212016
352	0.2850644496
353	0.2848257249
354	0.2843882082
355	0.2839109983
356	0.2836640437
357	0.2833544951
358	0.2830440525
359	0.2828269654
360	0.2826977152
361	0.2822441368
362	0.2818186907
363	0.2812447705
364	0.281206236
365	0.2807660936
366	0.2803403506
367	0.2796804497
368	0.279166281
369	0.2789991564
370	0.2786680914
371	0.2782527883
372	0.2779800577
373	0.2775708206
374	0.2772521647
375	0.2768464889
376	0.2765622757
377	0.2763080839
378	0.2759916109
379	0.2750062713
380	0.2748760025
381	0.2746720191
382	0.274485343
383	0.2742684708
384	0.2740034342
385	0.2736442924
386	0.2732846384
387	0.2730849254
388	0.2728092651
389	0.2722622418
390	0.271972192
391	0.2715902212
392	0.2711595878
393	0.2708314468
394	0.2701639042
395	0.2694446007
396	0.2688503392
397	0.2686822137
398	0.2684930261
399	0.2681230516
400	0.2677668438
401	0.2673692646
402	0.2668515208
403	0.2665935007
404	0.2660088776
405	0.2655462703
406	0.265201194
407	0.2649079139
408	0.2646865364
409	0.2641815328
410	0.2638293356
411	0.2634666499
412	0.2631536099
413	0.2630586053
414	0.2629473893
415	0.2624380194
416	0.26186296
417	0.2615381654
418	0.2609371289
419	0.2606224584
420	0.2604229941
421	0.2602076186
422	0.2600615552
423	0.2598579543
424	0.2597158927
425	0.2593581208
426	0.259177234
427	0.2586738484
428	0.2583651611
429	0.2579729897
430	0.2574803394
431	0.2570148775
432	0.2567781843
433	0.2566425662
434	0.2564094286
435	0.255978219
436	0.2556220102
437	0.2551416882
438	0.2549259111
439	0.254496663
440	0.2541035773
441	0.2537687832
442	0.2535106301
443	0.2528290861
444	0.2523366511
445	0.2517333969
446	0.2514155419
447	0.2511538023
448	0.2507320425
449	0.2504333144
450	0.2502986056
451	0.2499714213
452	0.2496808836
453	0.2494271986
454	0.2489910685
455	0.2487766072
456	0.2485300807
457	0.24828441
458	0.2481072295
459	0.2478628927
460	0.2474579519
461	0.2473510685
462	0.2471139337
463	0.2469392867
464	0.2466264353
465	0.2463354813
466	0.2456914971
467	0.2454766821
468	0.2452373382
469	0.2448641594
470	0.2444225086
471	0.2440590364
472	0.24369368
473	0.2434554363
474	0.2432708715
475	0.243114003
476	0.2428599185
477	0.2424642891
478	0.2421377542
479	0.2418298866
480	0.2414714255
481	0.241105263
482	0.2406062701
483	0.2402014125
484	0.239922306
485	0.239553594
486	0.2391910527
487	0.2386818168
488	0.2383519547
489	0.237733049
490	0.2375734732
491	0.237284499
492	0.2370110929
493	0.2366631367
494	0.2362484626
495	0.2358696797
496	0.2355985772
497	0.2353489063
498	0.2351676892
499	0.2347897962
500	0.2343192681
501	0.2340893499
502	0.2338895598
503	0.2335572603
504	0.2331942793
505	0.2329972971
506	0.2326499183
507	0.2323679079
508	0.2319400733
509	0.2315316138
510	0.231370796
511	0.2310756062
512	0.2307166759
513	0.2301859774
514	0.2300259466
515	0.2294555896
516	0.2289797348
517	0.2286285816
518	0.2279990372
519	0.2275046971
520	0.2270650421
521	0.2268814281
522	0.2264091049
523	0.2260328871
524	0.2257963471
525	0.2254070596
526	0.2250695134
527	0.2245083598
528	0.2242044206
529	0.2240269865
530	0.2237320394
531	0.2232815726
532	0.2230858596
533	0.2226885902
534	0.2220527611
535	0.2216113304
536	0.2212559131
537	0.2208387576
538	0.2206285353
539	0.2202551784
540	0.2196530911
541	0.2194138813
542	0.219079245
543	0.2188040861
544	0.2186195486
545	0.2181375769
546	0.2177950214
547	0.2176328009
548	0.2172540697
549	0.2168306352
550	0.2164197821
551	0.2162041956
552	0.2157544676
553	0.2153663763
554	0.2151523807
555	0.2149227595
556	0.2145026603
557	0.2141009278
558	0.2138626813
559	0.2137314946
560	0.2133606328
561	0.2130555188
562	0.2128736066
563	0.2124406108
564	0.2121989103
565	0.2118905639
566	0.2116874777
567	0.2114573521
568	0.2112215174
569	0.2109388578
570	0.2106127364
571	0.210349901
572	0.2100131475
573	0.2098913144
574	0.2095545762
575	0.2092377847
576	0.2089421352
577	0.2085301228
578	0.2083393658
579	0.2081874096
580	0.2080797272
581	0.2078697462
582	0.2073599032
583	0.2070090863
584	0.2066026773
585	0.2062409586
586	0.2060064368
587	0.2058859129
588	0.2055995562
589	0.2054278881
590	0.2050910495
591	0.204746826
592	0.2043268405
593	0.2042327243
594	0.2041279575
595	0.2037849302
596	0.2035050197
597	0.2032072015
598	0.2029379333
599	0.2026823152
600	0.202242935
601	0.2019572382
602	0.201661187
603	0.2013979682
604	0.2011410255
605	0.2009664274
606	0.2007290016
607	0.2004110002
608	0.2000325886
609	0.199698949
610	0.1994558677
611	0.1990377596
612	0.1986276883
613	0.1983380083
614	0.198047722
615	0.1978088571
616	0.1975272808
617	0.1973217858
618	0.1969115337
619	0.1965603803
620	0.1963440398
621	0.1960153308
622	0.1959429405
623	0.1955264411
624	0.1954843413
625	0.1953333581
626	0.1950737737
627	0.1947971611
628	0.1945377911
629	0.1941997745
630	0.1940248758
631	0.1936489269
632	0.1932323568
633	0.1929811029
634	0.1927691323
635	0.1924890069
636	0.1921667771
637	0.1919812922
638	0.1918037215
639	0.1915161856
640	0.1911730453
641	0.1910324611
642	0.1907633276
643	0.1904635986
644	0.1901698207
645	0.1899035587
646	0.1895685402
647	0.1892263521
648	0.188997076
649	0.1887827795
650	0.1886377675
651	0.1882981218
652	0.1881262416
653	0.1878392084
654	0.1875871505
655	0.1872988571
656	0.1872488572
657	0.186916784
658	0.1865943283
659	0.1863141685
660	0.186169356
661	0.1858457473
662	0.1855973903
663	0.1852569191
664	0.1848270406
665	0.1845069634
666	0.1842063013
667	0.1841026025
668	0.1839652309
669	0.1839247793
670	0.1835952584
671	0.1834059334
672	0.1832343995
673	0.1830074446
674	0.1827464461
675	0.1824952042
676	0.1822205273
677	0.1818586119
678	0.1816874771
679	0.1811920251
680	0.1809933102
681	0.1808072753
682	0.180574448
683	0.1803662143
684	0.1801346956
685	0.1796486619
686	0.1794601005
687	0.1792404337
688	0.1790498647
689	0.1789591074
690	0.1785615354
691	0.1783260116
692	0.1781903852
693	0.1781319284
694	0.1779280663
695	0.1778054596
696	0.1776242551
697	0.1773300073
698	0.1769107557
699	0.1766890571
700	0.1765089653
701	0.1762215647
702	0.1761324278
703	0.1757955265
704	0.1755716583
705	0.1753851401
706	0.1752599633
707	0.1750126849
708	0.1747188631
709	0.1746085213
710	0.1743756185
711	0.1740492338
712	0.1738952356
713	0.1737296363
714	0.1732885785
715	0.1728104217
716	0.1725347113
717	0.1722947277
718	0.1720058603
719	0.1718374185
720	0.1715620976
721	0.1714071916
722	0.1712881318
723	0.1711366232
724	0.1708905446
725	0.1707528724
726	0.1705192078
727	0.1702555223
728	0.1700464869
729	0.1698721117
730	0.1697097265
731	0.1694716152
732	0.1692723248
733	0.1689607365
734	0.1687526222
735	0.1684770028
736	0.1682761427
737	0.1680629159
738	0.1677848683
739	0.1674569078
740	0.167185576
741	0.1669353329
742	0.1666198386
743	0.1662033403
744	0.1659938949
745	0.1657562272
746	0.16549271
747	0.1651143208
748	0.1648952867
749	0.1646815724
750	0.1644120391
751	0.164151481
752	0.1637870642
753	0.1636563787
754	0.1634720784
755	0.1632550754
756	0.1632095778
757	0.1629321323
758	0.1626207667
759	0.1624720179
760	0.1622744344
761	0.1620875125
762	0.1619151644
763	0.1617735417
764	0.1614794219
765	0.1612820473
766	0.1610278448
767	0.1608114435
768	0.1605601673
769	0.1603584465
770	0.1601589285
771	0.1598187693
772	0.1594990076
773	0.1594178491
774	0.1591740476
775	0.1589597668
776	0.1586572182
777	0.1585927948
778	0.1583410545
779	0.1580762285
780	0.157837188
781	0.1576221499
782	0.1574308736
783	0.1572416823
784	0.15689432
785	0.1566979457
786	0.1565010573
787	0.1561907541
788	0.1561507426
789	0.1558415282
790	0.1557370845
791	0.1555638461
792	0.1553294749
793	0.1550573179
794	0.1548858249
795	0.1547818181
796	0.15456759
797	0.1543894619
798	0.1543784677
799	0.1540511034
800	0.1536747469
801	0.1534406441
802	0.1532689991
803	0.1530799194
804	0.1528597011
805	0.1527126908
806	0.1524936774
807	0.1521324163
808	0.1519849877
809	0.1518040017
810	0.1516932771
811	0.151528491
812	0.1512854055
813	0.1510266455
814	0.1508184635
815	0.1506061653
816	0.1504678915
817	0.1503860232
818	0.1501756465
819	0.1499087871
820	0.1497145119
821	0.1495510008
822	0.1494137044
823	0.1492337272
824	0.1490006269
825	0.1488241393
826	0.1485916087
827	0.1483123313
828	0.1481168943
829	0.147909679
830	0.1477113142
831	0.1474992407
832	0.1473623347
833	0.1471392684
834	0.1469572323
835	0.1469423047
836	0.1468099023
837	0.1465817421
838	0.1464099846
839	0.1462561176
840	0.1460019539
841	0.1457613131
842	0.145708281
843	0.1454511561
844	0.145302057
845	0.1451091239
846	0.144962718
847	0.144826806
848	0.1445965162
849	0.1443798705
850	0.1442337032
851	0.1441116219
852	0.1439983759
853	0.1439017732
854	0.1437638894
855	0.1435492759
856	0.1433281608
857	0.1431821973
858	0.1429338477
859	0.1426117999
860	0.1424847668
861	0.1423166372
862	0.1422671603
863	0.1421243323
864	0.1419061615
865	0.1416967192
866	0.1415155988
867	0.1413885755
868	0.1411645682
869	0.1409950229
870	0.1409495515
871	0.1407211857
872	0.1406014298
873	0.1404234928
874	0.14023845
875	0.1400450539
876	0.139862639
877	0.1396663185
878	0.1395154131
879	0.1393849183
880	0.1392935853
881	0.1392094124
882	0.1390032496
883	0.1388202571
884	0.1385996987
885	0.1384399806
886	0.1383090325
887	0.1380771465
888	0.137958001
889	0.1376911275
890	0.1374895964
891	0.1372803994
892	0.1370678373
893	0.1368191223
894	0.1366625078
895	0.1365102367
896	0.1363513791
897	0.1361928247
898	0.135955495
899	0.1358504668
900	0.1356656752
901	0.1355727312
902	0.1353262661
903	0.1351857322
904	0.1349637441
905	0.1348291624
906	0.1346317615
907	0.1344532598
908	0.1342425128
909	0.1342365934
910	0.1340269724
911	0.1338510436
912	0.1336355769
913	0.1334326673
914	0.1332525629
915	0.1330026635
916	0.1328303106
917	0.1326234262
918	0.1324283964
919	0.1322090853
920	0.1319598665
921	0.1317869509
922	0.131610833
923	0.1314825467
924	0.1313295125
925	0.1311774754
926	0.1310447363
927	0.1308981844
928	0.1306676415
929	0.1305305237
930	0.1303262048
931	0.130166358
932	0.130045806
933	0.1298883282
934	0.129683513
935	0.1294802326
936	0.1294485492
937	0.1293196057
938	0.1291459511
939	0.1289202441
940	0.1287983365
941	0.1286483644
942	0.1284318174
943	0.1282797459
944	0.1280762936
945	0.1278446168
946	0.1276401295
947	0.1274787705
948	0.1273785991
949	0.1272400035
950	0.1272010085
951	0.1270801119
952	0.1268420878
953	0.1267541422
954	0.1266174789
955	0.1264152696
956	0.1262673465
957	0.1261218047
958	0.1259826407
959	0.1257587246
960	0.125560975
961	0.1254421028
962	0.1252651533
963	0.1250935725
964	0.1249798346
965	0.1248518955
966	0.1247359192
967	0.1245439013
968	0.1243810947
969	0.1242848254
970	0.1241511755
971	0.1240618257
972	0.1238548184
973	0.1237120858
974	0.1235480504
975	0.1233760074
976	0.123261466
977	0.1230896767
978	0.1229223662
979	0.1228238141
980	0.1227033946
981	0.1225564162
982	0.1224180884
983	0.122293295
984	0.1221531808
985	0.1220053249
986	0.1219400441
987	0.1219349702
988	0.1216120954
989	0.1214001832
990	0.1211876583
991	0.121170712
992	0.1210360447
993	0.1209178393
994	0.1207328841
995	0.1205087281
996	0.1204473284
997	0.120252782
998	0.1200097708
999	0.1198622301
