iter	Passed	Remaining
0	1	1216
1	17	8577
2	18	6108
3	32	8209
4	47	9481
5	48	8092
6	63	8971
7	78	9736
8	92	10215
9	93	9287
10	108	9731
11	122	10098
12	137	10459
13	152	10755
14	167	11029
15	182	11232
16	184	10640
17	184	10090
18	185	9587
19	186	9143
20	212	9895
21	213	9497
22	215	9169
23	227	9241
24	243	9497
25	257	9644
26	258	9314
27	259	9005
28	260	8716
29	261	8447
30	272	8509
31	274	8312
32	277	8132
33	280	7965
34	287	7928
35	290	7780
36	293	7634
37	296	7494
38	318	7837
39	321	7704
40	323	7572
41	326	7440
42	328	7318
43	331	7201
44	334	7089
45	336	6981
46	339	6884
47	342	6788
48	344	6693
49	391	7442
50	393	7314
51	422	7703
52	437	7813
53	451	7912
54	453	7783
55	466	7860
56	481	7964
57	483	7847
58	484	7731
59	495	7769
60	511	7866
61	525	7951
62	528	7853
63	530	7761
64	531	7651
65	541	7659
66	542	7556
67	555	7616
68	557	7519
69	559	7431
70	560	7339
71	562	7245
72	563	7158
73	565	7071
74	566	6988
75	567	6900
76	568	6818
77	571	6756
78	572	6678
79	574	6601
80	575	6530
81	584	6544
82	600	6632
83	614	6702
84	616	6632
85	629	6692
86	631	6631
87	633	6565
88	644	6601
89	659	6666
90	661	6603
91	674	6661
92	689	6727
93	691	6666
94	703	6705
95	718	6769
96	720	6703
97	721	6638
98	723	6581
99	736	6630
100	749	6669
101	752	6621
102	754	6571
103	757	6524
104	759	6477
105	763	6436
106	765	6387
107	768	6345
108	769	6292
109	771	6239
110	772	6186
111	774	6143
112	792	6220
113	794	6177
114	807	6215
115	836	6377
116	838	6331
117	841	6287
118	844	6250
119	881	6467
120	883	6420
121	884	6367
122	885	6316
123	888	6273
124	889	6227
125	890	6177
126	891	6130
127	893	6089
128	911	6157
129	913	6113
130	915	6072
131	926	6089
132	927	6048
133	930	6013
134	933	5978
135	940	5976
136	943	5942
137	944	5901
138	955	5918
139	970	5961
140	971	5920
141	973	5879
142	985	5908
143	987	5871
144	990	5839
145	1000	5850
146	1002	5815
147	1004	5780
148	1014	5796
149	1017	5766
150	1018	5729
151	1021	5697
152	1029	5700
153	1045	5741
154	1046	5707
155	1049	5677
156	1051	5645
157	1052	5609
158	1053	5574
159	1056	5544
160	1058	5513
161	1059	5481
162	1061	5450
163	1074	5475
164	1075	5443
165	1076	5410
166	1078	5381
167	1080	5349
168	1081	5318
169	1088	5315
170	1090	5285
171	1091	5256
172	1103	5275
173	1104	5245
174	1118	5272
175	1134	5312
176	1148	5341
177	1150	5311
178	1151	5280
179	1152	5250
180	1153	5221
181	1163	5227
182	1178	5263
183	1193	5292
184	1208	5323
185	1223	5354
186	1252	5446
187	1267	5476
188	1270	5450
189	1282	5469
190	1284	5439
191	1285	5410
192	1287	5383
193	1288	5353
194	1290	5326
195	1291	5298
196	1292	5269
197	1297	5255
198	1299	5229
199	1300	5201
200	1313	5219
201	1327	5242
202	1329	5218
203	1341	5235
204	1356	5261
205	1357	5233
206	1359	5206
207	1361	5183
208	1362	5155
209	1363	5128
210	1364	5100
211	1365	5074
212	1366	5048
213	1371	5036
214	1386	5061
215	1387	5036
216	1388	5010
217	1401	5027
218	1416	5050
219	1417	5024
220	1430	5043
221	1432	5018
222	1446	5039
223	1447	5014
224	1448	4989
225	1461	5006
226	1464	4985
227	1476	4998
228	1477	4974
229	1478	4949
230	1479	4925
231	1480	4901
232	1490	4906
233	1491	4882
234	1505	4901
235	1506	4877
236	1507	4853
237	1520	4868
238	1521	4844
239	1522	4821
240	1535	4835
241	1537	4815
242	1539	4797
243	1550	4803
244	1551	4780
245	1565	4799
246	1568	4780
247	1570	4763
248	1573	4744
249	1579	4739
250	1582	4721
251	1594	4733
252	1595	4711
253	1596	4690
254	1597	4668
255	1598	4646
256	1599	4625
257	1600	4603
258	1608	4603
259	1609	4582
260	1610	4561
261	1611	4540
262	1624	4551
263	1639	4569
264	1654	4588
265	1684	4649
266	1699	4664
267	1700	4643
268	1713	4657
269	1714	4636
270	1715	4615
271	1717	4596
272	1718	4575
273	1719	4555
274	1720	4534
275	1721	4514
276	1722	4494
277	1723	4475
278	1728	4466
279	1729	4448
280	1743	4460
281	1758	4477
282	1760	4459
283	1773	4471
284	1776	4455
285	1787	4463
286	1789	4445
287	1803	4457
288	1817	4472
289	1820	4458
290	1832	4465
291	1847	4480
292	1849	4461
293	1850	4444
294	1863	4452
295	1864	4434
296	1866	4418
297	1907	4493
298	1908	4475
299	1922	4486
300	1925	4470
301	1926	4452
302	1937	4456
303	1938	4438
304	1940	4420
305	1951	4426
306	1953	4408
307	1954	4390
308	1966	4397
309	1968	4381
310	1970	4366
311	1981	4368
312	1982	4351
313	1996	4361
314	1997	4343
315	2010	4352
316	2025	4365
317	2027	4347
318	2040	4355
319	2041	4337
320	2056	4349
321	2058	4334
322	2059	4317
323	2070	4319
324	2085	4330
325	2086	4314
326	2087	4296
327	2101	4304
328	2104	4291
329	2114	4293
330	2116	4277
331	2129	4284
332	2130	4268
333	2132	4252
334	2133	4236
335	2135	4220
336	2137	4205
337	2139	4189
338	2140	4173
339	2141	4157
340	2143	4141
341	2159	4154
342	2160	4138
343	2173	4145
344	2175	4129
345	2188	4137
346	2190	4122
347	2192	4107
348	2193	4091
349	2204	4093
350	2218	4102
351	2221	4090
352	2223	4075
353	2225	4060
354	2226	4045
355	2228	4032
356	2230	4016
357	2247	4030
358	2249	4016
359	2251	4002
360	2263	4005
361	2264	3991
362	2267	3979
363	2277	3979
364	2278	3963
365	2279	3949
366	2282	3936
367	2283	3922
368	2292	3920
369	2294	3906
370	2307	3911
371	2309	3899
372	2311	3885
373	2312	3870
374	2321	3869
375	2322	3854
376	2324	3840
377	2337	3845
378	2338	3831
379	2352	3838
380	2354	3824
381	2367	3830
382	2368	3816
383	2370	3802
384	2371	3788
385	2381	3788
386	2396	3796
387	2398	3782
388	2399	3769
389	2401	3755
390	2402	3741
391	2411	3740
392	2413	3728
393	2415	3715
394	2426	3716
395	2428	3704
396	2441	3708
397	2443	3695
398	2444	3682
399	2446	3669
400	2447	3656
401	2456	3653
402	2458	3642
403	2471	3646
404	2486	3652
405	2488	3641
406	2489	3627
407	2501	3629
408	2516	3636
409	2518	3623
410	2531	3627
411	2532	3614
412	2534	3602
413	2545	3603
414	2547	3590
415	2549	3578
416	2561	3581
417	2564	3570
418	2567	3559
419	2569	3548
420	2572	3537
421	2574	3526
422	2577	3515
423	2579	3504
424	2582	3493
425	2585	3483
426	2590	3476
427	2592	3465
428	2620	3487
429	2622	3476
430	2625	3465
431	2650	3485
432	2653	3474
433	2654	3462
434	2657	3451
435	2659	3440
436	2661	3428
437	2679	3437
438	2680	3425
439	2681	3413
440	2694	3415
441	2709	3421
442	2713	3411
443	2715	3400
444	2718	3390
445	2721	3380
446	2724	3370
447	2726	3360
448	2729	3349
449	2732	3340
450	2735	3330
451	2738	3320
452	2741	3310
453	2744	3300
454	2746	3289
455	2749	3280
456	2752	3270
457	2768	3276
458	2771	3266
459	2774	3257
460	2777	3247
461	2779	3237
462	2798	3245
463	2800	3235
464	2803	3225
465	2806	3215
466	2808	3205
467	2811	3196
468	2826	3200
469	2829	3190
470	2832	3181
471	2835	3171
472	2838	3162
473	2841	3152
474	2844	3143
475	2846	3134
476	2849	3124
477	2852	3115
478	2856	3106
479	2859	3097
480	2862	3088
481	2864	3078
482	2867	3069
483	2870	3059
484	2872	3050
485	2875	3041
486	2878	3032
487	2881	3022
488	2883	3013
489	2886	3004
490	2889	2995
491	2892	2986
492	2895	2977
493	2897	2967
494	2900	2958
495	2902	2949
496	2905	2940
497	2907	2930
498	2910	2922
499	2913	2913
500	2915	2903
501	2928	2905
502	2931	2896
503	2943	2896
504	2946	2888
505	2958	2888
506	2961	2880
507	2964	2871
508	2967	2862
509	2973	2857
510	2976	2848
511	2988	2848
512	3017	2864
513	3019	2855
514	3022	2846
515	3033	2845
516	3036	2836
517	3048	2836
518	3062	2838
519	3065	2829
520	3067	2819
521	3068	2810
522	3076	2806
523	3079	2797
524	3082	2789
525	3084	2779
526	3087	2770
527	3091	2763
528	3093	2754
529	3096	2746
530	3099	2737
531	3105	2732
532	3108	2723
533	3111	2715
534	3135	2724
535	3138	2716
536	3150	2715
537	3164	2717
538	3167	2709
539	3180	2709
540	3183	2700
541	3184	2690
542	3187	2682
543	3188	2673
544	3190	2663
545	3192	2654
546	3194	2645
547	3196	2636
548	3198	2627
549	3200	2618
550	3201	2608
551	3202	2599
552	3208	2593
553	3210	2584
554	3212	2575
555	3223	2574
556	3225	2565
557	3227	2556
558	3229	2547
559	3231	2538
560	3239	2534
561	3241	2526
562	3244	2518
563	3247	2510
564	3252	2504
565	3267	2505
566	3270	2497
567	3272	2489
568	3275	2481
569	3278	2473
570	3281	2465
571	3284	2457
572	3286	2449
573	3289	2441
574	3291	2433
575	3294	2425
576	3297	2417
577	3312	2418
578	3316	2411
579	3326	2408
580	3341	2409
581	3342	2400
582	3356	2400
583	3358	2392
584	3359	2383
585	3360	2374
586	3361	2365
587	3371	2362
588	3372	2353
589	3386	2353
590	3388	2344
591	3401	2344
592	3402	2335
593	3416	2334
594	3418	2326
595	3419	2317
596	3421	2309
597	3430	2306
598	3432	2297
599	3446	2297
600	3460	2297
601	3461	2288
602	3463	2280
603	3465	2272
604	3475	2268
605	3476	2260
606	3477	2251
607	3478	2243
608	3489	2240
609	3504	2240
610	3506	2232
611	3508	2224
612	3520	2222
613	3522	2214
614	3524	2206
615	3534	2203
616	3550	2203
617	3551	2195
618	3553	2187
619	3565	2185
620	3579	2184
621	3582	2176
622	3594	2175
623	3595	2166
624	3608	2165
625	3609	2156
626	3611	2148
627	3612	2139
628	3623	2137
629	3638	2136
630	3640	2128
631	3642	2121
632	3644	2112
633	3645	2104
634	3647	2096
635	3649	2088
636	3650	2080
637	3668	2081
638	3669	2073
639	3671	2065
640	3682	2062
641	3698	2062
642	3713	2061
643	3716	2054
644	3718	2046
645	3721	2039
646	3723	2031
647	3726	2024
648	3729	2016
649	3731	2009
650	3742	2006
651	3745	1999
652	3748	1991
653	3750	1984
654	3753	1977
655	3772	1978
656	3787	1977
657	3802	1976
658	3804	1968
659	3807	1961
660	3816	1957
661	3819	1949
662	3822	1942
663	3825	1935
664	3827	1928
665	3830	1921
666	3833	1913
667	3836	1906
668	3839	1899
669	3842	1892
670	3844	1885
671	3847	1878
672	3860	1875
673	3863	1868
674	3866	1861
675	3875	1857
676	3877	1850
677	3880	1842
678	3883	1835
679	3885	1828
680	3888	1821
681	3891	1814
682	3893	1807
683	3896	1800
684	3899	1793
685	3901	1786
686	3948	1798
687	3951	1791
688	3953	1784
689	3956	1777
690	3958	1770
691	3961	1763
692	3964	1756
693	3967	1749
694	3970	1742
695	3972	1735
696	3974	1728
697	3977	1720
698	3980	1713
699	3982	1706
700	3992	1702
701	3995	1696
702	3998	1689
703	4000	1682
704	4003	1675
705	4006	1668
706	4008	1661
707	4011	1654
708	4052	1663
709	4068	1661
710	4071	1654
711	4074	1648
712	4081	1643
713	4084	1636
714	4087	1629
715	4096	1624
716	4127	1628
717	4130	1622
718	4156	1624
719	4171	1622
720	4185	1619
721	4186	1612
722	4187	1604
723	4200	1601
724	4202	1593
725	4202	1586
726	4203	1578
727	4215	1575
728	4230	1572
729	4246	1570
730	4248	1563
731	4260	1560
732	4276	1557
733	4291	1555
734	4320	1557
735	4335	1555
736	4350	1552
737	4366	1550
738	4368	1542
739	4380	1538
740	4382	1531
741	4395	1528
742	4410	1525
743	4411	1517
744	4412	1510
